park,flow_type,datestring,device_count,weekly_smooth
GLAC,intraflow,2019-01-01,60,60.0
GLAC,intraflow,2019-01-02,58,59.0
GLAC,intraflow,2019-01-03,70,62.666666666666664
GLAC,intraflow,2019-01-04,66,63.5
GLAC,intraflow,2019-01-05,56,62.0
GLAC,intraflow,2019-01-06,70,63.333333333333336
GLAC,intraflow,2019-01-07,76,65.14285714285714
GLAC,intraflow,2019-01-08,80,68.0
GLAC,intraflow,2019-01-09,70,69.71428571428571
GLAC,intraflow,2019-01-10,72,70.0
GLAC,intraflow,2019-01-11,62,69.42857142857143
GLAC,intraflow,2019-01-12,70,71.42857142857143
GLAC,intraflow,2019-01-13,66,70.85714285714286
GLAC,intraflow,2019-01-14,74,70.57142857142857
GLAC,intraflow,2019-01-15,80,70.57142857142857
GLAC,intraflow,2019-01-16,80,72.0
GLAC,intraflow,2019-01-17,76,72.57142857142857
GLAC,intraflow,2019-01-18,68,73.42857142857143
GLAC,intraflow,2019-01-19,66,72.85714285714286
GLAC,intraflow,2019-01-20,74,74.0
GLAC,intraflow,2019-01-21,60,72.0
GLAC,intraflow,2019-01-22,62,69.42857142857143
GLAC,intraflow,2019-01-23,68,67.71428571428571
GLAC,intraflow,2019-01-24,66,66.28571428571429
GLAC,intraflow,2019-01-25,68,66.28571428571429
GLAC,intraflow,2019-01-26,60,65.42857142857143
GLAC,intraflow,2019-01-27,62,63.714285714285715
GLAC,intraflow,2019-01-28,54,62.857142857142854
GLAC,intraflow,2019-01-29,60,62.57142857142857
GLAC,intraflow,2019-01-30,54,60.57142857142857
GLAC,intraflow,2019-01-31,60,59.714285714285715
GLAC,intraflow,2019-02-01,64,59.142857142857146
GLAC,intraflow,2019-02-02,76,61.42857142857143
GLAC,intraflow,2019-02-03,90,65.42857142857143
GLAC,intraflow,2019-02-04,80,69.14285714285714
GLAC,intraflow,2019-02-05,70,70.57142857142857
GLAC,intraflow,2019-02-06,78,74.0
GLAC,intraflow,2019-02-07,84,77.42857142857143
GLAC,intraflow,2019-02-08,82,80.0
GLAC,intraflow,2019-02-09,82,80.85714285714286
GLAC,intraflow,2019-02-10,78,79.14285714285714
GLAC,intraflow,2019-02-11,82,79.42857142857143
GLAC,intraflow,2019-02-12,78,80.57142857142857
GLAC,intraflow,2019-02-13,90,82.28571428571429
GLAC,intraflow,2019-02-14,90,83.14285714285714
GLAC,intraflow,2019-02-15,76,82.28571428571429
GLAC,intraflow,2019-02-16,76,81.42857142857143
GLAC,intraflow,2019-02-17,76,81.14285714285714
GLAC,intraflow,2019-02-18,70,79.42857142857143
GLAC,intraflow,2019-02-19,82,80.0
GLAC,intraflow,2019-02-20,80,78.57142857142857
GLAC,intraflow,2019-02-21,68,75.42857142857143
GLAC,intraflow,2019-02-22,84,76.57142857142857
GLAC,intraflow,2019-02-23,76,76.57142857142857
