Park,Month,Official 2019,Official 2020,Safegraph 2019,Safegraph 2020
Yosemite,Jan,116746,132742,6638,7807
Yosemite,Feb,111665,167778,5887,8611
Yosemite,Mar,173610,92324,9383,5017
Yosemite,Apr,297207,0,16186,2308
Yosemite,May,393004,0,18307,3571
Yosemite,Jun,496625,236534,28194,11119
Yosemite,Jul,717462,501068,32556,19306
Yosemite,Aug,703153,375226,26629,14874
Yosemite,Sep,584664,258561,18327,6353
Yosemite,Oct,448939,249827,14478,10503
Yosemite,Nov,230598,136799,11645,9193
Yosemite,Dec,149188,117454,10342,4777
Grand Canyon,Jan,225056,246460,13263,15668
Grand Canyon,Feb,213050,252897,12271,16935
Grand Canyon,Mar,451228,276002,34221,20555
Grand Canyon,Apr,562265,0,34936,6770
Grand Canyon,May,618598,43397,35113,14076
Grand Canyon,Jun,643821,232267,48694,28809
Grand Canyon,Jul,756860,350003,48653,33218
Grand Canyon,Aug,700896,303900,33445,24814
Grand Canyon,Sep,578852,249010,28311,25254
Grand Canyon,Oct,551558,421568,27798,29371
Grand Canyon,Nov,347847,275764,20909,20513
Grand Canyon,Dec,324380,245830,19906,17040
Yellowstone,Jan,33896,25234,3308,4126
Yellowstone,Feb,31650,41880,3384,4320
Yellowstone,Mar,28695,32516,3048,2652
Yellowstone,Apr,48150,0,3995,1477
Yellowstone,May,434385,46219,17187,4562
Yellowstone,Jun,781853,573205,43452,27239
Yellowstone,Jul,936062,955645,50334,43827
Yellowstone,Aug,820006,881829,35723,34252
Yellowstone,Sep,693118,837114,22054,23137
Yellowstone,Oct,171339,359889,7310,11913
Yellowstone,Nov,15628,24132,2269,1939
Yellowstone,Dec,25506,28643,3855,3290
Zion,Jan,98828,126994,3623,5154
Zion,Feb,102269,133718,3665,6000
Zion,Mar,296316,207400,11153,7295
Zion,Apr,372349,40396,14199,2439
Zion,May,529553,178194,14689,8257
Zion,Jun,594896,377425,19965,16787
Zion,Jul,629802,449518,20850,20256
Zion,Aug,535322,450183,15175,15271
Zion,Sep,497443,520987,12224,13074
Zion,Oct,429604,559342,11746,14761
Zion,Nov,230180,319853,8657,9219
Zion,Dec,171706,227244,6236,6408
Glacier,Jan,13581,13651,645,866
Glacier,Feb,11240,18020,631,896
Glacier,Mar,23989,24377,909,691
Glacier,Apr,35491,0,726,479
Glacier,May,167403,0,2195,676
Glacier,Jun,544088,202701,6756,3177
Glacier,Jul,879711,453977,10241,6641
Glacier,Aug,771874,459121,7903,5821
Glacier,Sep,488909,343911,4487,3544
Glacier,Oct,78408,125544,941,1563
Glacier,Nov,20008,29366,606,600
Glacier,Dec,15137,28196,954,910
Rocky Mountain,Jan,118152,126866,8911,10642
Rocky Mountain,Feb,99873,110667,8565,9722
Rocky Mountain,Mar,146414,97690,13244,9745
Rocky Mountain,Apr,160259,0,9901,4141
Rocky Mountain,May,280351,63051,17352,10106
Rocky Mountain,Jun,698224,491355,35916,28474
Rocky Mountain,Jul,973992,723478,49461,44013
Rocky Mountain,Aug,830039,580368,34850,34898
Rocky Mountain,Sep,752320,500019,27332,26553
Rocky Mountain,Oct,374003,297665,17000,17350
Rocky Mountain,Nov,123376,157875,10228,8816
Rocky Mountain,Dec,113050,156165,12944,12211
